title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
The Devil's Rejects,0,tt0395584,en,The Devil's Rejects,"The sequel to House of 1000 Corpses â€“ the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing â€“ yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way.",22/07/2005,107.0,Death walks behind. Hell waits ahead.,19246174
Bird on a Wire,20000000,tt0099141,en,Bird on a Wire,"A FBI informant has kept his new identity secret for 15 years, now an old flame has recognised him and the bad guys are back for revenge.",18/05/1990,110.0,He's every woman's dream and one woman's nightmare,138700000
Jesus Camp,0,tt0486358,en,Jesus Camp,"A growing number of Evangelical Christians believe there is a revival underway in America that requires Christian youth to assume leadership roles in advocating the causes of their religious movement. Jesus Camp follows children at a Christian summer camp as they hone their ""prophetic gifts"" and are schooled in how to ""take back America for Christ."" The film is a first-ever look into an intense training ground that recruits born-again Christian children to become an active part of America's political future.",15/09/2006,87.0,America is being born again.,1013596
In My Skin,0,tt0337961,fr,Dans ma peau,"Esther, a self-conscious young woman who works for a public relations firm. One night at a party with her friend Sandrine, Esther wanders into the backyard and stumbles, scratching her leg on a piece of scrap metal. She goes back to the party, and later realizes that her injury is much more severe than she had thought. There's a huge, ugly gouge all the way up her shin, and she's bleeding profusely. She goes to a doctor, who patches her up and tells her she might need a skin graft. But Esther becomes obsessed with the wound. She won't let it heal, sneaking away during work to cut herself. As her leg becomes an ugly scarred mass, she begins to notice a problem with her arm. Before long, she's alienated Vincent and jeopardized her job with her compulsive, self-destructive behavior. But she continues on her grotesque downward spiral.",04/12/2002,93.0,,31046
The Long Goodbye,1700000,tt0070334,en,The Long Goodbye,Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.,07/03/1973,113.0,Nothing says goodbye like a bullet...,959000
The Others,0,tt0230600,en,The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",02/08/2001,101.0,"Sooner or later she'll see them, then everything will be different.",209947037
Cutaway,9,tt0211792,fr,Cutaway,"The successful undercover agent Victor Cooper is assigned for his ninth mission: to find how the loadings of drug is being brought to Miami. He suspects that the drug is coming through the air and joins a team of sky diving, under the leadership of Red Line, a fanatic and considered the athlete number one in this sport in the world. Due to his profile of winner, Vic gets involved with the group and he ""disconnects"" from his position of infiltrated agent, ""connecting"" with the team.",26/08/2000,104.0,,37
Jakob the Liar,0,tt0120716,en,Jakob the Liar,"In 1944 Poland, a Jewish shop keeper named Jakob is summoned to ghetto headquarters after being caught out after curfew. While waiting for the German Kommondant, Jakob overhears a German radio broadcast about Russian troop movements. Returned to the ghetto, the shopkeeper shares his information with a friend and then rumors fly that there is a secret radio within the ghetto.",16/09/1999,120.0,"When all hope was lost, he invented it.",4956701
The Dust Factory,0,tt0329030,en,The Dust Factory,"Ryan is a teenager who lacks the ability to speak. One day, Ryan falls off a bridge and he finds himself transported to a strange fantasy world where he encounters his Grandpa Randolph (Armin Mueller-Stahl) and a pretty girl named Melanie (Hayden Panettiere); together, Ryan and Melanie learn to help one another with their problems, and they both discover the wisdom they can gain from elders like Grandpa Randolph.",01/01/2004,99.0,,12
Frankenstein Unbound,0,tt0099612,en,Frankenstein Unbound,"The ultimate weapon, claimed to be safe for mankind, produces global side-effects including time slides and disappearances. The scientist behind the project and his car are zapped from the year 2031 to 1817 in Switzerland where he meets Dr. Victor Frankenstein, Mary Shelley and others.",02/11/1990,82.0,,334748
A Star Is Born,5019770,tt0047522,en,A Star Is Born,"A movie star helps a young singer/actress find fame, even as age and alcoholism send his own career into a downward spiral.",29/09/1954,181.0,The applause of the world -- and then this!,4335968
"Girl, Interrupted",40000000,tt0172493,en,"Girl, Interrupted","Set in the changing world of the late 1960's, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",21/12/1999,127.0,"The crazy thing is, you're not crazy.",48350205
The Private Lives of Pippa Lee,0,tt1134629,en,The Private Lives of Pippa Lee,"The life you love may be your own.... The wife of a much older man finds herself attracted to their neighbour's son, who is closer to her age.",07/07/2009,98.0,She lived many lives - except her own.,2770941
Ghost Dog: The Way of the Samurai,0,tt0165798,en,Ghost Dog: The Way of the Samurai,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,13/09/1999,116.0,All assassins live beyond the law â€¦ only one follows the code,9400000
And Then There Were None,0,tt0037515,en,And Then There Were None,"Ten people are invited for a weekend on an island by a mysterious stranger, but it turns out he isn't present. At dinner a record is played which accuses each one of the guests of having committed a murder. They soon begin to realize a crazed killer is stalking them.",31/10/1945,97.0,,1000000
Pillow Talk,0,tt0053172,en,Pillow Talk,"A man and woman share a telephone line and despise each other, but then he has fun by romancing her with his voice disguised.",07/10/1959,102.0,Footloose bachelor...beautiful career girl...and the world's most fascinating pastime!,18750000
Be Kind Rewind,0,tt0799934,en,Be Kind Rewind,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.",20/01/2008,102.0,"You name it, we shoot it.",30600000
Wild Orchid II: Two Shades of Blue,0,tt0105819,en,Wild Orchid II: Two Shades of Blue,"Blue is a teenage girl who lives with her Jazz playing father Ham. Ham gets very sick and dies, and now Blue must support herself somehow. Elle, the headmistress at a brothel, talks her into living and working at her establishment. She decides to leave the business and lead a normal life. Elle is hellbent to see that she never has one.",06/05/1992,111.0,,573904
Luther,0,tt0309820,en,Luther,"During the early 16th Century idealistic German monk Martin Luther, disgusted by the materialism in the church, begins the dialogue that will lead to the Protestant Reformation.",29/10/2003,123.0,,29413900
Knight Moves,0,tt0104627,en,Knight Moves,A psychologist falls for a world-class chess player suspected of odd murders linked to his game.,14/01/1992,116.0,In a game of life and death... one wrong move could be his last...,13668149
The Woman in Red,25300000,tt0088414,en,The Woman in Red,"When a happily married family man, who would never consider an affair, meets a beautiful woman in red, he is totally infatuated and desperate to make her acquaintance. However, as he tries out various schemes to sneak out to meet her, he realizes that adultery is not quite as easy as it looks.",15/08/1984,87.0,He's head over heels and headed straight for trouble!,25308147
Murder by Death,0,tt0074937,en,Murder by Death,"Lionel Twain invites the world's five greatest detectives to a 'dinner and murder'. Included are a blind butler, a deaf-mute maid, screams, spinning rooms, secret passages, false identities and more plot turns and twists than are decently allowed.",23/06/1976,94.0,By the time the world's greatest detectives figure out whodunnit... you could die,32511047
Underdog,0,tt0467110,en,Underdog,A lab accident gives a hound named Shoeshine some serious superpowers -- a secret that the dog eventually shares with the young boy who becomes his owner and friend,03/08/2007,84.0,ONE NATION...UNDER DOG,65270477
Godzilla vs. Mechagodzilla II,9500000,tt0107027,ja,ã‚´ã‚¸ãƒ©vsãƒ¡ã‚«ã‚´ã‚¸ãƒ©,"The United Nations assembles the ultimate weapon to defeat Godzilla, while scientists discover a fresh pteranodon egg on a remote Japanese island.",11/12/1993,108.0,"In this fight, all will be over.",18000000
One Missed Call,27,tt0479968,en,One Missed Call,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.",04/01/2008,87.0,What will it sound like when you die?,26
"What's Up, Doc?",0,tt0069495,en,"What's Up, Doc?","Two researchers have come to San Francisco to compete for a research grant in Music. One seems a bit distracted, and that was before he meets her. A strange woman seems to have devoted her life to confusing and embarrassing him. At the same time a woman has her jewels stolen and a government whistle blower arrives with his stolen top secret papers. All, of course have the same style and color overnight bag.",09/03/1972,94.0,A screwball comedy. Remember them?,66000000
The White Massai,7000000,tt0436889,de,Die weisse Massai,"A girl, Carola, whose vacation in Kenya takes an interesting turn when she becomes infatuated with a Masai. Carola decides to leave her boyfriend to stay with her lover. There, she has to adapt to the Masai's way of life and get used to their food which includes milk mixed with blood. She also has to face her husband's attitude towards women and what he expects from a wife. Nonetheless, Carola is welcomed warmly into the tribe she has chosen to join.",14/09/2005,131.0,,22000000
Venom,0,tt0428251,en,Venom,"Venom is a fright-filled voodoo thriller loaded with a sizzling cast of the screen's hottest young stars. Set deep in the eerie swamps of southern Louisiana - Agnes Bruckner (Murder By Numbers), Jonathan Jackson (Tuck Everlasting) and Meagan Good (Roll Bounce) are among a group of teenagers trying to uncover the truth behind a friend's mysterious death. What they find is an evil force more deadly than anyone could have imagined ... now they are running for their lives!",16/09/2005,85.0,He never hurt a soul until the day he died.,881779
Der Wixxer,0,tt0313021,de,Der Wixxer,"Auf dem Weg von Bitterfeld nach London verirrt sich ein sÃ¤chsisches PÃ¤rchen im Wald. Ein hinterhÃ¤ltiges Subjekt hat den Wegweiser verdreht! So werden die beiden Zeuge, wie ""der MÃ¶nch mit der Peitsche"" vorsÃ¤tzlich Ã¼ber den Haufen gefahren wird. Zur AufklÃ¤rung des mysteriÃ¶sen Falles schickt Scotland-Yard-Chef Sir John seinen besten Mann auf die Jagd: Inspektor Even Longer. Die psychisch labile SpÃ¼rnase macht sich mit seinem neuen Partner Very Long sogleich ans Werk.",19/05/2004,85.0,,13
The Man Without a Past,0,tt0311519,fi,Mies vailla menneisyyttÃ¤,"The second part of Aki KaurismÃ¤ki's ""Finland"" trilogy, the film follows a man who arrives in Helsinki and gets beaten up so severely he develops amnesia. Unable to remember his name or anything from his past life, he cannot get a job or an apartment, so he starts living on the outskirts of the city and slowly starts putting his life back on track.",01/03/2002,97.0,,921
Shine,0,tt0117631,en,Shine,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",21/01/1996,105.0,A true story of the mystery of music and the miracle of love,35892330
Penelope,15000000,tt0472160,en,Penelope,"Forlorn heiress Penelope Wilhern is cursed, and the only way out is to fall in love with someone of suitable stock. But how can she find her soul mate when she's sequestered inside her family's estate with only her parents to keep her company. This untraditional fairy tale about a girl who bucks convention to create her own happy ending.",01/03/2006,103.0,A fairytale like no other.,21156270
The Man Who Knew Too Much,0,tt0025452,en,The Man Who Knew Too Much,"A man and his wife receive a clue to an imminent assassination attempt, only to learn that their daughter has been kidnapped to keep them quiet.",30/11/1934,75.0,Public Enemy No. 1 of all the world...,10250000
Dangerous Beauty,0,tt0118892,en,Dangerous Beauty,"Veronica is brilliant, gifted and beautiful, but the handsome aristocrat she loves, Marco Venier, cannot marry her because she is penniless and of questionable family. So Veronica's mother, Paola, teaches her to become a courtesan, one of the exotic companions favored by the richest and most powerful Venetian men. Veronica courageously uses her charms to change destiny -- and to give herself a chance at true love.",20/02/1998,111.0,Born without privilege. Bound by tradition. She found the courage to follow her heart.,4530929
The River Wild,45000000,tt0110997,en,The River Wild,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",30/09/1994,111.0,The vacation is over,94216343
The Banger Sisters,10000000,tt0280460,en,The Banger Sisters,"In the late '60s, the self-proclaimed belles of the rock 'n' roll ball, rocked the worlds of every music legend whose pants they could take off -- and they have the pictures to prove it. But it's been more than two decades since the Banger Sisters earned their nickname -- or even laid eyes on each other. Their reunion is the collision of two women's worlds; one who's living in the past, and one who's hiding from it. Together they learn to live in the moment.",20/09/2002,98.0,Some friendships last forever... like it or not.,38068353
Slither,15500000,tt0439815,en,Slither,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",31/03/2006,95.0,Horror Has A New Face,12834936
The Family Stone,0,tt0356680,en,The Family Stone,"An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",14/12/2005,103.0,Feel The Love,92000000
Spies Like Us,0,tt0090056,en,Spies Like Us,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",06/12/1985,102.0,With spies like these who needs enemies?,60088980
Medicine Man,40000000,tt0104839,en,Medicine Man,"An eccentric scientist working for a large drug company is working on a research project in the Amazon jungle. He sends for a research assistant and a gas chromatograph because he's close to a cure for cancer. When the assistant turns out to be a ""mere woman,"" he rejects her help. Meanwhile the bulldozers get closer to the area in which they are conducting research, and they eventually learn to work together, and begin falling in love.",07/02/1992,106.0,He turned his back on civilization. Only to discover he had the power to save it.,45500797
The Man in the Iron Mask,0,tt0120744,en,The Man in the Iron Mask,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",12/03/1998,132.0,For the honor of a king. And the destiny of a country. All for one.,182968902
Thir13en Ghosts,0,tt0245674,en,Thir13en Ghosts,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",26/10/2001,91.0,"There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions...",41867960
Red Corner,48000000,tt0119994,en,Red Corner,"An American attorney on business in China, ends up wrongfully on trial for murder and his only key to innocence is a female defense lawyer from the country.",30/10/1997,122.0,Leniency for those who confess...,22420000
Mr. Magoo,30000000,tt0119718,en,Mr. Magoo,"Mr.Magoo, a man with terrible eyesight, gets caught up in a museum robbery.",25/12/1997,84.0,You won't believe your eyes.,75000000
The Nameless,0,tt0222368,es,Los sin nombre,"The mutilated body of a six year old girl is found in a water hole. The girl is identified as the missing daughter of Claudia. However, only two peices of evidence could be used to identify her; a bracelet with her name on it near the crime scene, and the fact that her right leg was three inches longer than her left. All other methods of identification were removed from her body. Five years later Claudia, now addicted to tranquilizers, receives a phone call from someone claiming to be her daughter, asking for her mother to come find her before 'they' kill her. Other mysterious clues show up, further indicating that Claudia's daughter is indeed still alive, and very much in danger. Claudia, a run-down ex-cop, and a parapsychology reporter put together the clues to discover Angela's whereabouts",08/10/1999,102.0,Trying to reach the limits of evil... But evil has no limits.,1069154
Jungle 2 Jungle,0,tt0119432,en,Jungle 2 Jungle,"Uptight New York City executive, Michael Cromwell, pursues his soon-to-be ex-wife to South America and returns home with the son he never knew he had -- a boy raised in a tribal village in Brazil. Armed with only his blowgun, the 13-year-old Mimi-Siku discovers that the world outside his jungle home is indeed a strange place.",07/03/1997,97.0,The big city is about to get a little savage.,59927618
"South Park: Bigger, Longer & Uncut",21000000,tt0158983,en,"South Park: Bigger, Longer & Uncut","When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",30/06/1999,81.0,UH-OH.,78608288
Ricochet,0,tt0102789,en,Ricochet,An attorney is terrorized by the criminal he put away years ago when he was a cop.,04/10/1991,109.0,He's a cop accused of murder. And the only man who knows he's innocent is the killer who framed him.,21760000
Clueless,12000000,tt0112697,en,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",19/07/1995,97.0,Sex. Clothes. Popularity. Is there a problem here?,56631572
Dreamship Surprise - Period 1,9000000,tt0349047,de,(T)Raumschiff Surprise - Periode 1,"Hundreds of years after humans have settled on Mars, Regulator Rogul and Lord Jens Maul, lead a force of Martians to Earth in order to conquer the planet. Queen Metaphor looks to the gay heroes aboard the spaceship Surprise -- Captain Kork, Mr. Spuck, and first engineer Schrotty",14/07/2004,87.0,,76341401
Thursday,0,tt0124901,en,Thursday,"Casey has given up drug dealing for a suburban idyll in Houston, a job as an architect and a new wife. They are even planning to adopt a child. But Casey's past arrives on the doorstep in the shape of Nick, an old business partner. And all hell breaks loose!",25/09/1998,84.0,They say the past always catches up with you. This could be the day.,3121
See No Evil,8000000,tt0437179,en,See No Evil,"A group of delinquents are sent to clean the Blackwell Hotel. Little do they know reclusive psychopath Jacob Goodnight (Jacobs) has holed away in the rotting hotel. When one of the teens is captured, those who remain -- a group that includes the cop who put a bullet in Goodnight's head four years ago -- band together to survive against the brutal killer.",19/05/2006,84.0,This summer. Evil gets raw.,18564467
Abominable,0,tt0402743,en,Abominable,"A man, crippled in an accident, returns to the woods after rehabilitation, certain that he'll not see Bigfoot again.",10/04/2006,94.0,,1810
Waking Ned,0,tt0166396,en,Waking Ned,"When a lottery winner dies of shock, his fellow townsfolk attempt to claim the money.",15/09/1998,91.0,How far would you go to win a fortune!,43515982
Are We Done Yet?,0,tt0422774,en,Are We Done Yet?,Newlyweds Nick (Ice Cube) and Suzanne (Long) decide to move to the suburbs to provide a better life for their two kids. But their idea of a dream home is disturbed by a contractor (McGinley) with a bizarre approach to business.,04/04/2007,92.0,New house. New family. What could possibly go wrong?,58400000
A Simple Plan,30000000,tt0120324,en,A Simple Plan,"Captivated by the lure of sudden wealth, the quiet rural lives of two brothers erupt into conflicts of greed, paranoia and distrust when over $4 million in cash is discovered at the remote site of a downed small airplane. Their simple plan to retain the money while avoiding detection opens a Pandora's box when the fear of getting caught triggers panicked behavior and leads to virulent consequences",11/12/1998,121.0,Sometimes good people do evil things.,16316273
High Tension,0,tt0338095,fr,Haute tension,"Alexia travels with her friend Marie to spend a couple of days with her family in their farm in the country. They arrive late and they are welcomed by Alexia's father. Late in the night, a sadistic and sick killer breaks into the farmhouse, slaughters Alexia's family--including their dog--and kidnaps Alexia. Marie hides from the criminal and tries to help the hysterical and frightened Alexia, chase the maniac, and disclose his identity in the end.",18/06/2003,91.0,Hearts will bleed.,6291958
Summer of Sam,0,tt0162677,en,Summer of Sam,"Spike Lee's take on the ""Son of Sam"" murders in New York City during the summer of 1977 centering on the residents of an Italian-American South Bronx neighborhood who live in fear and distrust of one another.",02/07/1999,142.0,No one is safe from son of sam,19288130
Volcano,90000000,tt0120461,en,Volcano,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles.",25/04/1997,104.0,The coast is toast,122823468
Lost Souls,0,tt0160484,en,Lost Souls,"A small group of Catholics led by an ailing priest believe that Satan intends to become man, just as God did in the person of Jesus. The writings of a possessed mental patient lead them to Peter Kelson, a writer who studies serial killers. They think it's his body Satan will occupy. The youngest in the group, a teacher named Maya Larkin, goes to Peter to investigate further and to convince him to believe in the possibility of Evil incarnate. Other signs come to him as he and Maya them take a journey full of strange occurrences, self-discovery, and an ultimate showdown",13/10/2000,97.0,,31355910
The Replacements,0,tt0191397,en,The Replacements,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",07/08/2000,118.0,Throw the ball. Catch the girl. Keep it simple.,50054511
Wolf,0,tt0111742,en,Wolf,Publisher Will Randall becomes a werewolf and has to fight to keep his job.,17/06/1994,125.0,The animal is out.,131002597
Perfect Blue,0,tt0156887,ja,ãƒ‘ãƒ¼ãƒ•ã‚§ã‚¯ãƒˆãƒ–ãƒ«ãƒ¼,"Mima Kirigoe is a singer who leaves her trio to become an actress, a career move that angers her fans, who prefer to see her as the pop idol. Plagued by self-doubt and tormented by humiliating compromises, she begins to be stalked, in her waking and sleeping moments, by an alter ego who claims to be ""the real Mima"", until she collapses into madness as her coworkers are brutally slain around her.",11/07/1997,81.0,The color of illusion is Perfect Blue.,112536
The Cat in the Hat,0,tt0312528,en,The Cat in the Hat,"Conrad and Sally Walden are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their parents get back.",21/11/2003,82.0,Don't mess with the hat.,133818283
George of the Jungle,55000000,tt0119190,en,George of the Jungle,"Baby George got into a plane crash in a jungle, stayed alive and was adopted by a wise ape. Ursula Stanhope, US noble woman is saved from death on safari by grown-up George, and he takes her to jungle to live with him. He slowly learns a rules of human relationships, while Ursula's lover Lyle is looking for her and the one who took her. After they are found, Ursula takes George to the USA.",15/07/1997,92.0,Watch out!,174463257
The Jungle Book,0,tt0110213,en,The Jungle Book,"Raised by wild animals since childhood, Mowgli is drawn away from the jungle by the beautiful Kitty. But Mowgli must eventually face corrupt Capt. Boone, who wants both Kitty's hand and the treasures of Monkey City â€“ a place only Mowgli can find.",23/12/1994,111.0,,43
Quick Change,15000000,tt0100449,en,Quick Change,"With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.",13/07/1990,89.0,The bank robbery was easy. But getting out of New York was a nightmare.,15260154
What a Girl Wants,0,tt0286788,en,What a Girl Wants,"An American girl, Daphne, heads to Europe in search of the father she's never met. But instead of finding a British version of her bohemian mother, she learns the love of her mom's life is an uptight politician. The only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who makes Daphne's life miserable.",27/03/2003,105.0,Trying to fit in. Born to stand out.,50700000
Confidence,0,tt0310910,en,Confidence,"What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew. It becomes clear that Lionel wasn't just any mark, he was an accountant for eccentric crime boss Winston King. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt.",25/04/2003,97.0,It's not about the money. It's about the money.,23014206
The Tuxedo,0,tt0290095,en,The Tuxedo,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",27/09/2002,98.0,Suit up for action!,104391623
The Texas Chainsaw Massacre: The Beginning,16000000,tt0420294,en,The Texas Chainsaw Massacre: The Beginning,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror.",06/10/2006,91.0,What you know about fear... doesn't even come close.,51764406
